time,player_name,team,xg,player_x,player_y,goal_x,goal_y,shotType,situation
90,Gabriel Martinelli,Arsenal,0.41483238339424,9.8,37.0,0,50.0,save,assisted
90,Gabriel Martinelli,Arsenal,0.20819599926472,13.5,57.9,0,60.2,miss,assisted
88,Fábio Vieira,Arsenal,0.054753758013248,14.0,64.8,0,42.9,miss,assisted
70,Benjamin White,Arsenal,0.072170950472355,7.4,67.9,0,54.1,goal,assisted
65,Kai Havertz,Arsenal,0.09408987313509,12.5,53.2,0,46.1,goal,assisted
60,Thomas Partey,Arsenal,0.027604512870312,25.1,55.8,0,47.4,block,regular
60,Martin Ødegaard,Arsenal,0.037137433886528,14.6,68.4,0,53.1,block,assisted
60,Leandro Trossard,Arsenal,0.11339801549911,13.9,41.9,0,48.2,block,fast-break
57,Kai Havertz,Arsenal,0.38778451085091,10.5,44.4,0,50.4,goal,assisted
52,Benjamin White,Arsenal,0.24105970561504,7.0,58.3,0,52.3,goal,corner
52,Declan Rice,Arsenal,0.051028065383434,14.4,60.8,0,53.9,block,corner
51,Kai Havertz,Arsenal,0.41521742939949,4.8,58.4,0,47.7,save,assisted
50,Martin Ødegaard,Arsenal,0.057958740741014,18.4,66.0,0,62.7,miss,assisted
49,Declan Rice,Arsenal,0.063994877040386,10.4,67.5,0,49.5,save,assisted
34,Bukayo Saka,Arsenal,0.038393005728722,22.8,41.6,0,51.6,miss,corner
33,Leandro Trossard,Arsenal,0.010578101500869,23.3,29.1,0,53.1,block,assisted
28,Bukayo Saka,Arsenal,0.043857332319021,9.9,65.6,0,54.1,block,assisted
27,Leandro Trossard,Arsenal,0.27869552373886,10.2,59.9,0,61.0,miss,assisted
26,Kai Havertz,Arsenal,0.12895920872688,13.5,56.8,0,46.4,save,assisted
26,Bukayo Saka,Arsenal,0.029584651812911,12.6,65.6,0,47.7,save,assisted
26,Leandro Trossard,Arsenal,0.01944756321609,13.3,28.4,0,45.7,block,assisted
23,Thomas Partey,Arsenal,0.045112825930119,20.1,63.6,0,52.0,block,assisted
22,Declan Rice,Arsenal,0.069263696670532,18.5,44.3,0,45.5,miss,assisted
22,Bukayo Saka,Arsenal,0.032007575035095,19.0,54.9,0,45.4,block,assisted
15,Takehiro Tomiyasu,Arsenal,0.29442709684372,4.8,54.1,0,46.7,miss,corner
10,Thomas Partey,Arsenal,0.066874951124191,20.3,66.0,0,47.7,block,assisted
5,Leandro Trossard,Arsenal,0.12598924338818,4.8,34.4,0,53.7,goal,assisted
